Date : 2026-03-27 14:34:43
Directory : c:\code\kionas\server
Total : 66 files,  14221 codes, 2181 comments, 1566 blanks, all 17968 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |         65 |     14,185 |      2,180 |      1,562 |     17,927 |
| TOML     |          1 |         36 |          1 |          4 |         41 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |         66 |     14,221 |      2,181 |      1,566 |     17,968 |
| . (Files)                                                                         |          2 |         55 |          1 |          6 |         62 |
| src                                                                               |         64 |     14,166 |      2,180 |      1,560 |     17,906 |
| src (Files)                                                                       |          9 |        727 |         61 |        116 |        904 |
| src\auth                                                                          |          3 |        197 |          1 |         37 |        235 |
| src\janitor                                                                       |          1 |        411 |        202 |         55 |        668 |
| src\parser                                                                        |          2 |         49 |          0 |          6 |         55 |
| src\planner                                                                       |          3 |      1,316 |        242 |        177 |      1,735 |
| src\providers                                                                     |          7 |        367 |         97 |         58 |        522 |
| src\services                                                                      |          7 |        794 |         81 |         89 |        964 |
| src\statement_handler                                                             |         15 |      5,084 |      1,212 |        449 |      6,745 |
| src\statement_handler (Files)                                                     |          1 |        206 |         11 |         10 |        227 |
| src\statement_handler\ddl                                                         |          4 |      1,421 |        246 |         77 |      1,744 |
| src\statement_handler\dml                                                         |          2 |        328 |         58 |         31 |        417 |
| src\statement_handler\query                                                       |          2 |      1,560 |        579 |        167 |      2,306 |
| src\statement_handler\shared                                                      |          3 |      1,251 |        237 |        140 |      1,628 |
| src\statement_handler\utility                                                     |          3 |        318 |         81 |         24 |        423 |
| src\tasks                                                                         |          1 |        542 |         58 |         49 |        649 |
| src\tests                                                                         |         10 |      3,638 |         27 |        422 |      4,087 |
| src\transactions                                                                  |          2 |        406 |         70 |         42 |        518 |
| src\warehouse                                                                     |          3 |        464 |        128 |         52 |        644 |
| src\workers                                                                       |          1 |        171 |          1 |          8 |        180 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                          | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\code\kionas\server\Cargo.toml                                                  | TOML     |         36 |          1 |          4 |         41 |
| c:\code\kionas\server\build.rs                                                    | Rust     |         19 |          0 |          2 |         21 |
| c:\code\kionas\server\src\auth\jwt.rs                                             | Rust     |         52 |          1 |          9 |         62 |
| c:\code\kionas\server\src\auth\mod.rs                                             | Rust     |         22 |          0 |          6 |         28 |
| c:\code\kionas\server\src\auth\persistence.rs                                     | Rust     |        123 |          0 |         22 |        145 |
| c:\code\kionas\server\src\auth_setup.rs                                           | Rust     |         24 |          2 |          5 |         31 |
