run_id,timestamp_utc,profile_id,dataset_tier,row_count_per_table,table_count,warmup_runs,measured_runs,wall_time_ms,rows_processed,rows_per_second,artifact_size_bytes,stage_runtime_ms,batch_count,result_row_count,notes
EP3-PC-S-SCAN-WARM-01,2026-03-22T16:36:13Z,scan_only,S,10000,3,1,3,2583,10000,3871.47,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_scan_only.sql warmup; statement 2 SUCCESS (2583 ms); execution summary 2624 ms"
EP3-PC-S-SCAN-MEAS-01,2026-03-22T16:36:16Z,scan_only,S,10000,3,1,3,703,10000,14224.75,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_scan_only.sql measured; statement 2 SUCCESS (703 ms); execution summary 723 ms"
EP3-PC-S-SCAN-MEAS-02,2026-03-22T16:36:17Z,scan_only,S,10000,3,1,3,703,10000,14224.75,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_scan_only.sql measured; statement 2 SUCCESS (703 ms); execution summary 723 ms"
EP3-PC-S-SCAN-MEAS-03,2026-03-22T16:36:18Z,scan_only,S,10000,3,1,3,694,10000,14409.22,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_scan_only.sql measured; statement 2 SUCCESS (694 ms); execution summary 715 ms"
EP3-PC-S-FSORT-WARM-01,2026-03-22T16:36:19Z,filter_sort,S,10000,3,1,3,849,9900,11660.78,,,10,9900,"scripts/benchmarks/ep3/baseline/tier_s_filter_sort.sql warmup; statement 2 SUCCESS (849 ms); execution summary 864 ms"
EP3-PC-S-FSORT-MEAS-01,2026-03-22T16:36:20Z,filter_sort,S,10000,3,1,3,810,9900,12222.22,,,10,9900,"scripts/benchmarks/ep3/baseline/tier_s_filter_sort.sql measured; statement 2 SUCCESS (810 ms); execution summary 830 ms"
EP3-PC-S-FSORT-MEAS-02,2026-03-22T16:36:21Z,filter_sort,S,10000,3,1,3,728,9900,13598.90,,,10,9900,"scripts/benchmarks/ep3/baseline/tier_s_filter_sort.sql measured; statement 2 SUCCESS (728 ms); execution summary 748 ms"
EP3-PC-S-FSORT-MEAS-03,2026-03-22T16:36:22Z,filter_sort,S,10000,3,1,3,809,9900,12237.33,,,10,9900,"scripts/benchmarks/ep3/baseline/tier_s_filter_sort.sql measured; statement 2 SUCCESS (809 ms); execution summary 828 ms"
EP3-PC-S-JOIN-WARM-01,2026-03-22T16:36:24Z,join_heavy,S,10000,3,1,3,1296,10000,7716.05,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_join_heavy.sql warmup; statement 2 SUCCESS (1296 ms); execution summary 1315 ms"
EP3-PC-S-JOIN-MEAS-01,2026-03-22T16:36:25Z,join_heavy,S,10000,3,1,3,1230,10000,8130.08,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_join_heavy.sql measured; statement 2 SUCCESS (1230 ms); execution summary 1248 ms"
EP3-PC-S-JOIN-MEAS-02,2026-03-22T16:36:27Z,join_heavy,S,10000,3,1,3,1249,10000,8006.41,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_join_heavy.sql measured; statement 2 SUCCESS (1249 ms); execution summary 1266 ms"
EP3-PC-S-JOIN-MEAS-03,2026-03-22T16:36:28Z,join_heavy,S,10000,3,1,3,1234,10000,8103.73,,,10,10000,"scripts/benchmarks/ep3/baseline/tier_s_join_heavy.sql measured; statement 2 SUCCESS (1234 ms); execution summary 1253 ms"
EP3-PC-S-AGG-WARM-01,2026-03-22T16:36:30Z,aggregate_heavy,S,10000,3,1,3,988,6358,6435.22,,,7,6358,"scripts/benchmarks/ep3/baseline/tier_s_aggregate_heavy.sql warmup; statement 2 SUCCESS (988 ms); execution summary 1012 ms"
EP3-PC-S-AGG-MEAS-01,2026-03-22T16:36:31Z,aggregate_heavy,S,10000,3,1,3,983,6358,6467.96,,,7,6358,"scripts/benchmarks/ep3/baseline/tier_s_aggregate_heavy.sql measured; statement 2 SUCCESS (983 ms); execution summary 1010 ms"
EP3-PC-S-AGG-MEAS-02,2026-03-22T16:36:32Z,aggregate_heavy,S,10000,3,1,3,974,6358,6527.72,,,7,6358,"scripts/benchmarks/ep3/baseline/tier_s_aggregate_heavy.sql measured; statement 2 SUCCESS (974 ms); execution summary 992 ms"
